Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
44154569,The Rationalist's Guide to the Galaxy: Superintelligent AI and the Geeks Who Are Trying to Save Humanity's Future,Tom  Chivers,"Chivers, Tom",,"=""1474608809""","=""9781474608800""",0,3.84,Weidenfeld & Nicolson,Kindle Edition,324,2019,2019,,2022/11/18,to-read,to-read (#76),to-read,,,,0,0
12467,The Naked and the Dead,Norman Mailer,"Mailer, Norman",,"=""0312265050""","=""9780312265052""",0,3.95,Picador,Paperback,721,2000,1948,,2022/11/04,to-read,to-read (#75),to-read,,,,0,0
972747,Freeing the Natural Voice,Kristin Linklater,"Linklater, Kristin",,"=""0896760715""","=""9780896760714""",0,4.14,Drama Publishers/Quite Specific Media,Paperback,211,1994,1976,,2022/10/27,to-read,to-read (#74),to-read,,,,0,0
25241895,Right Concentration: A Practical Guide to the Jhanas,Leigh Brasington,"Brasington, Leigh",,"=""1611802695""","=""9781611802696""",0,4.36,Shambhala,Paperback,237,2015,2015,,2022/10/26,to-read,to-read (#73),to-read,,,,0,0
53780642,The Employees,Olga Ravn,"Ravn, Olga",Martin Aitken,"=""""","=""""",0,3.64,Lolli Editions,Paperback,136,2020,2018,,2022/10/13,to-read,to-read (#72),to-read,,,,0,0
25451264,"Death's End (Remembrance of Earth’s Past, #3)",Liu Cixin,"Cixin, Liu",Ken Liu,"=""0765377101""","=""9780765377104""",5,4.40,TOR,Hardcover,604,2016,2010,2022/10/12,2022/10/12,,,read,,,,1,0
394535,"Blood Meridian, or, the Evening Redness in the West",Cormac McCarthy,"McCarthy, Cormac",,"=""""","=""""",0,4.15,Vintage Books,Paperback,351,2010,1985,,2022/10/07,to-read,to-read (#71),to-read,,,,0,0
16634,The Glass Bead Game,Hermann Hesse,"Hesse, Hermann","Richard Winston, Clara Winston, Theodore Ziolkowski","=""0312278497""","=""9780312278496""",0,4.10,Holt Paperbacks,Paperback,558,1998,1943,,2022/09/29,to-read,to-read (#70),to-read,,,,0,0
20518872,"The Three-Body Problem (Remembrance of Earth’s Past, #1)",Liu Cixin,"Cixin, Liu",Ken Liu,"=""""","=""""",5,4.08,Tor Books,Hardcover,472,2014,2006,2022/08/05,2022/07/21,,,read,,,,1,0
23168817,"The Dark Forest (Remembrance of Earth’s Past, #2)",Liu Cixin,"Cixin, Liu",Joel Martinsen,"=""""","=""""",4,4.40,Tor Books,Hardcover,512,2015,2008,2022/09/09,2022/08/08,,,read,,,,1,0
11100788,Leaving the Atocha Station,Ben Lerner,"Lerner, Ben",,"=""""","=""""",0,3.79,Coffee House Press,Paperback,181,2011,2011,,2022/09/05,to-read,to-read (#69),to-read,,,,0,0
43565369,The Topeka School,Ben Lerner,"Lerner, Ben",,"=""0374277788""","=""9780374277789""",0,3.51,"Farrar, Straus and Giroux",Hardcover,282,2019,2019,,2022/09/05,to-read,to-read (#68),to-read,,,,0,0
52211699,Gotta Get Theroux This: My Life and Strange Times in Television,Louis Theroux,"Theroux, Louis",,"=""1509880364""","=""9781509880362""",0,3.84,Pan Macmillan ,Hardcover,416,2019,2019,,2022/08/27,to-read,to-read (#67),to-read,,,,0,0
28048,Hope in the Dark: The Untold History of People Power,Rebecca Solnit,"Solnit, Rebecca",,"=""1841956600""","=""9781841956602""",0,3.97,Canongate Books Ltd,Paperback,192,2005,2004,,2022/08/09,to-read,to-read (#66),to-read,,,,0,0
99245,Nightfall,Isaac Asimov,"Asimov, Isaac",Robert Silverberg,"=""0553290991""","=""9780553290998""",0,4.06,Bantam Books,Mass Market Paperback,339,2012,1990,,2022/07/30,to-read,to-read (#65),to-read,,,,0,0
