Date,Name,Year,Letterboxd URI,Rating
2024-02-08,The Boy and the Heron,2023,https://boxd.it/ipeM,4.5
2024-03-12,Dune: Part Two,2024,https://boxd.it/pUfA,4
2024-03-17,The Holdovers,2023,https://boxd.it/vHza,4
2024-04-08,Monkey Man,2024,https://boxd.it/kvsO,4
2024-05-25,Furiosa: A Mad Max Saga,2024,https://boxd.it/tABk,4
2024-05-30,The Apartment,1960,https://boxd.it/2aGE,4
2024-06-07,La Chimera,2023,https://boxd.it/vzVi,4
2024-06-26,Perfect Days,2023,https://boxd.it/ATh8,4
2024-07-01,Mishima: A Life in Four Chapters,1985,https://boxd.it/1sBA,5
2024-07-08,Challengers,2024,https://boxd.it/zld0,4.5
2024-07-20,Agent of Happiness,2024,https://boxd.it/I4UY,3.5
2024-07-24,The Conversation,1974,https://boxd.it/2a38,4
2024-07-28,Stop Making Sense,1984,https://boxd.it/1ygo,4.5
2024-08-19,A Fistful of Dollars,1964,https://boxd.it/2auo,3
2024-09-16,Hit Man,2023,https://boxd.it/ANB2,3.5
2024-09-30,Dangerous Liaisons,1988,https://boxd.it/29r4,3.5
2024-10-09,The Wild Robot,2024,https://boxd.it/IWFy,3.5
2024-10-13,Broadcast News,1987,https://boxd.it/1RxS,3.5
2024-11-13,Conclave,2024,https://boxd.it/AO8q,4
2024-11-16,The Big Sleep,1946,https://boxd.it/29iQ,4
2024-11-30,Ryuichi Sakamoto: Opus,2023,https://boxd.it/HJBm,4
2024-11-30,Le Samouraï,1967,https://boxd.it/22ZI,4
2024-12-28,Terminator 2: Judgment Day,1991,https://boxd.it/2aGY,4
2025-01-04,Babygirl,2024,https://boxd.it/Fvai,3.5
2025-01-10,American Made,2017,https://boxd.it/bb66,3.5
2025-01-15,A Complete Unknown,2024,https://boxd.it/oBYa,3
2025-01-27,A Real Pain,2024,https://boxd.it/CjNG,4
2025-02-02,Anora,2024,https://boxd.it/Egcw,3.5
2025-02-14,The Brutalist,2024,https://boxd.it/k4BO,4
2025-03-24,I'm Still Here,2024,https://boxd.it/BPEO,4.5
2025-03-28,Mickey 17,2025,https://boxd.it/q1Dk,3
2025-05-08,Sinners,2025,https://boxd.it/KQMM,4
2025-05-21,Mission: Impossible – The Final Reckoning,2025,https://boxd.it/l7A2,3
2025-05-26,Barton Fink,1991,https://boxd.it/2aFQ,4
2025-06-09,The Phoenician Scheme,2025,https://boxd.it/H0Ca,4
2025-06-30,Yojimbo,1961,https://boxd.it/1SRY,4
2025-07-01,We Are Not Angels,1992,https://boxd.it/1fba,4.5
2025-07-06,Dreams,1990,https://boxd.it/1ROu,4.5
2025-07-12,Purple Noon,1960,https://boxd.it/1WrU,4
2025-08-10,Materialists,2025,https://boxd.it/GZlW,3
2025-08-12,Before Sunrise,1995,https://boxd.it/2bcU,4.5
2025-08-12,Before Sunset,2004,https://boxd.it/2bcg,5
2025-08-12,Ikiru,1952,https://boxd.it/251c,4.5
2025-08-13,Before Midnight,2013,https://boxd.it/4ive,3.5
2025-08-28,Superman,2025,https://boxd.it/E9IU,1.5
2025-09-01,Caught Stealing,2025,https://boxd.it/LnyS,3
2025-09-25,Yi Yi,2000,https://boxd.it/1vCw,5
2025-10-08,One Battle After Another,2025,https://boxd.it/DUHM,4.5
2025-11-01,Bugonia,2025,https://boxd.it/qeWY,3.5
2025-11-08,Blue Moon,2025,https://boxd.it/Nzwy,4
2025-11-16,Rebuilding,2025,https://boxd.it/JYjm,3
2025-11-26,Sentimental Value,2025,https://boxd.it/GwcG,3.5
2025-12-08,Hamnet,2025,https://boxd.it/woVy,3.5
2025-12-10,Wake Up Dead Man,2025,https://boxd.it/uAKS,4.5
2025-12-17,"Paris, Texas",1984,https://boxd.it/29Ts,4.5
2025-12-27,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u,4
2026-01-08,The Fall Guy,2024,https://boxd.it/s0Bm,3
2026-01-12,Marty Supreme,2025,https://boxd.it/Off0,4
2026-01-19,The Secret Agent,2025,https://boxd.it/KkUE,4.5
2026-01-29,No Other Choice,2025,https://boxd.it/nKiA,3.5
